L,131.36,459.82,105.65,447.84,4286545791,2
L,144.45,433.28,119.29,420.19,4286545791,2
L,177.09,417.97,125.93,388.43,4294967295,2
L,174.04,382.05,150.12,366.81,4286545791,2
L,190.46,357.43,167.23,341.17,4286545791,2
L,215.46,339.33,181.72,313.43,4291611852,2
L,226.5,310.5,204.76,292.28,4286545791,2
L,245.99,288.26,225.08,269.1,4286545791,2
L,281.49,281.91,239.73,240.15,4294967295,2
L,287.84,246.41,268.68,225.5,4286545791,2
L,310.08,226.92,291.86,205.18,4286545791,2
L,338.91,215.88,313.01,182.14,4291611852,2
L,357.01,190.88,340.75,167.65,4286545791,2
L,381.63,174.46,366.39,150.54,4286545791,2
L,417.55,177.51,388.01,126.35,4294967295,2
L,432.86,144.87,419.77,119.71,4286545791,2
L,459.4,131.78,447.42,106.07,4286545791,2
L,490.09,128.59,473.81,89.29,4291611852,2
L,514.06,109.14,504.37,82.49,4286545791,2
L,542.08,99.62,533.55,72.59,4286545791,2
L,575.99,111.88,560.7,54.82,4294967295,2
L,599.22,84.31,593.08,56.64,4286545791,2
L,628.24,78.54,623.32,50.61,4286545791,2
L,658.72,83.41,653.17,41.25,4291611852,2
L,686.91,70.82,684.43,42.58,4286545791,2
L,716.43,68.88,715.2,40.54,4286545791,2
T,737.27,17.16,0h,4294967295,20,0
T,546.45,42.28,1h,4294967295,20,0
T,368.63,115.94,2h,4294967295,20,0
T,215.93,233.10,3h,4294967295,20,0
T,98.78,385.80,4h,4294967295,20,0
T,25.12,563.62,5h,4294967295,20,0
T,0.00,754.43,6h,4294967295,20,0
T,25.12,945.25,7h,4294967295,20,0
T,98.78,1123.06,8h,4294967295,20,0
T,215.93,1275.76,9h,4294967295,20,0
T,362.72,1392.92,10h,4294967295,20,0
T,541.33,1466.58,11h,4294967295,20,0
T,731.35,1491.70,12h,4294967295,20,0
T,922.17,1466.58,13h,4294967295,20,0
T,1099.99,1392.92,14h,4294967295,20,0
T,1252.69,1275.76,15h,4294967295,20,0
T,1369.85,1123.06,16h,4294967295,20,0
T,1443.50,945.25,17h,4294967295,20,0
T,1468.62,754.43,18h,4294967295,20,0
T,1443.50,563.62,19h,4294967295,20,0
T,1369.85,385.80,20h,4294967295,20,0
T,1252.69,233.10,21h,4294967295,20,0
T,1099.99,115.94,22h,4294967295,20,0
T,922.17,42.28,23h,4294967295,20,0
L,746.01,144.7,746.01,68.73,4294967295,2
