L,746.01,387.93,746.01,349.93,4294901760,2
L,777.26,389.3,778.65,373.36,4294901760,2
L,808.26,393.38,811.04,377.62,4294901760,2
L,838.8,400.15,842.94,384.69,4294901760,2
L,868.63,409.55,874.1,394.52,4294901760,2
L,897.52,421.52,904.28,407.02,4294901760,2
L,925.26,435.96,944.26,403.05,4294901760,2
L,951.64,452.77,960.82,439.66,4294901760,2
L,976.45,471.8,986.74,459.55,4294901760,2
L,999.51,492.93,1010.82,481.62,4294901760,2
L,1020.64,515.99,1032.9,505.71,4294901760,2
L,1039.68,540.8,1052.78,531.63,4294901760,2
L,1056.48,567.18,1089.39,548.18,4294901760,2
L,1070.92,594.92,1085.42,588.16,4294901760,2
L,1082.89,623.82,1097.93,618.34,4294901760,2
L,1092.3,653.64,1107.75,649.5,4294901760,2
L,1099.07,684.18,1114.82,681.4,4294901760,2
L,1103.15,715.19,1119.09,713.79,4294901760,2
L,1104.51,746.43,1142.51,746.43,4294901760,2
L,1103.15,777.68,1119.09,779.07,4294901760,2
L,1099.07,808.68,1114.82,811.46,4294901760,2
L,1092.3,839.22,1107.75,843.36,4294901760,2
L,1082.89,869.05,1097.93,874.52,4294901760,2
L,1070.92,897.94,1085.42,904.7,4294901760,2
L,1056.48,925.68,1089.39,944.68,4294901760,2
L,1039.68,952.06,1052.78,961.24,4294901760,2
L,1020.64,976.87,1032.9,987.16,4294901760,2
L,999.51,999.93,1010.82,1011.24,4294901760,2
L,976.45,1021.06,986.74,1033.32,4294901760,2
L,951.64,1040.1,960.82,1053.2,4294901760,2
L,925.26,1056.9,944.26,1089.81,4294901760,2
L,897.52,1071.34,904.28,1085.84,4294901760,2
L,868.63,1083.31,874.1,1098.35,4294901760,2
L,838.8,1092.72,842.94,1108.17,4294901760,2
L,808.26,1099.49,811.04,1115.24,4294901760,2
L,777.26,1103.57,778.65,1119.51,4294901760,2
L,746.01,1104.93,746.01,1142.93,4294901760,2
L,714.77,1103.57,713.37,1119.51,4294901760,2
L,683.76,1099.49,680.98,1115.24,4294901760,2
L,653.22,1092.72,649.08,1108.17,4294901760,2
L,623.4,1083.31,617.92,1098.35,4294901760,2
L,594.5,1071.34,587.74,1085.84,4294901760,2
L,566.76,1056.9,547.76,1089.81,4294901760,2
L,540.38,1040.1,531.21,1053.2,4294901760,2
L,515.57,1021.06,505.29,1033.32,4294901760,2
L,492.51,999.93,481.2,1011.24,4294901760,2
L,471.38,976.87,459.13,987.16,4294901760,2
L,452.35,952.06,439.24,961.24,4294901760,2
L,435.54,925.68,402.63,944.68,4294901760,2
L,421.1,897.94,406.6,904.7,4294901760,2
L,409.13,869.05,394.1,874.52,4294901760,2
L,399.73,839.22,384.27,843.36,4294901760,2
L,392.96,808.68,377.2,811.46,4294901760,2
L,388.88,777.68,372.94,779.07,4294901760,2
L,387.51,746.43,349.51,746.43,4294901760,2
L,388.88,715.19,372.94,713.79,4294901760,2
L,392.96,684.18,377.2,681.4,4294901760,2
L,399.73,653.64,384.27,649.5,4294901760,2
L,409.13,623.82,394.1,618.34,4294901760,2
L,421.1,594.92,406.6,588.16,4294901760,2
L,435.54,567.18,402.63,548.18,4294901760,2
L,452.35,540.8,439.24,531.63,4294901760,2
L,471.38,515.99,459.13,505.71,4294901760,2
L,492.51,492.93,481.2,481.62,4294901760,2
L,515.57,471.8,505.29,459.55,4294901760,2
